evolution$generation,evolution$evaluated,gravityDecay,innovationDecay,mutationRate,earlyAdoptersRate,utilityStd,utilityDistribution,averageGravityFlow,oppAverageUtility,oppAverageUtility,averageGravityFlow
10000,10000,0.010001345412750405,1.0180516016875536,0.4997662462253867,0.01,1.996866586780684,log-normal,2.7951560861716386E-4,-8.341559939953168,-8.341559939953168,2.7951560861716386E-4
10000,10000,0.12995569311841337,0.010012727003779684,0.4999488194993034,0.02792104098776079,1.9817862183073258,normal,6.262718133088399E-5,-3.862058355545226,-3.862058355545226,6.262718133088399E-5
10000,10000,0.011099822667726971,1.4936736014462615,0.37689181492424645,0.07475830517665344,1.9578671554075995,log-normal,1.7965674780215504E-4,-7.999862269879723,-7.999862269879723,1.7965674780215504E-4
10000,10000,0.010000000000002772,1.4314295195025413,0.49946294636922484,0.05855101535362968,1.9824462103240696,log-normal,1.0649492701945359E-4,-5.977139606473885,-5.977139606473885,1.0649492701945359E-4
10000,10000,0.12742575637014206,0.01,0.49997448668639155,0.027551774312065597,1.984796465630721,log-normal,1.047106273021042E-4,-5.317338555945951,-5.317338555945951,1.047106273021042E-4
10000,10000,0.12314595885200429,0.01,0.4998868151866848,0.025097296195304195,2.0,normal,7.368366271602048E-5,-4.064870264267903,-4.064870264267903,7.368366271602048E-5
10000,10000,0.01,0.01,0.5,0.03620956613874256,1.9891294944576134,log-normal,9.511220986181465E-5,-4.456463722666818,-4.456463722666818,9.511220986181465E-5
10000,10000,0.010047740487156717,0.011606666889720705,0.4971479911271251,0.01,1.9301066999717715,log-normal,9.655855101433792E-5,-4.626158642201808,-4.626158642201808,9.655855101433792E-5
10000,10000,0.03346317347322404,1.5,0.4904409075030366,0.01,1.995263330227796,log-normal,1.3359305407154622E-4,-7.230654720345747,-7.230654720345747,1.3359305407154622E-4
10000,10000,0.010006597818723314,0.016596489330507065,0.49977171120251607,0.02610332169645934,1.967043387715284,log-normal,1.0055716056209203E-4,-4.954251585972137,-4.954251585972137,1.0055716056209203E-4
10000,10000,0.01,0.05118552156270384,0.49979291802575143,0.021299722582275027,1.9702902271093283,log-normal,8.121047440695627E-5,-4.392442912741111,-4.392442912741111,8.121047440695627E-5
10000,10000,0.01,0.09198935497590723,0.4986464669561875,0.04620215984309031,1.9466195218774152,normal,8.098577863628926E-5,-4.0825535258372305,-4.0825535258372305,8.098577863628926E-5
10000,10000,0.01,0.01,0.4997691080544952,0.025515103637897947,1.9673274354475678,log-normal,9.82913665051846E-5,-4.860559099598851,-4.860559099598851,9.82913665051846E-5
