evolution$generation,evolution$evaluated,gravityDecay,innovationDecay,mutationRate,earlyAdoptersRate,utilityStd,utilityDistribution,averageGravityFlow,oppAverageUtility,oppAverageUtility,averageGravityFlow
7000,7000,0.010337195083848725,0.05123735387995167,0.5,0.015246302467652509,1.8599078669609364,normal,7.345885880068786E-5,-3.7621900028508435,-3.7621900028508435,7.345885880068786E-5
7000,7000,0.010001345412750405,1.0180516016875536,0.4997662462253867,0.01,1.996866586780684,log-normal,2.7951560861716386E-4,-8.341559939953168,-8.341559939953168,2.7951560861716386E-4
7000,7000,0.011099822667726971,1.4936736014462615,0.37689181492424645,0.07475830517665344,1.9578671554075995,log-normal,1.7965674780215504E-4,-7.999862269879723,-7.999862269879723,1.7965674780215504E-4
7000,7000,0.01,0.01,0.499828328985366,0.025750433920172698,1.964567901746538,log-normal,8.539099207804385E-5,-4.285877376329436,-4.285877376329436,8.539099207804385E-5
7000,7000,0.010000001125011293,0.02512512309687967,0.5,0.010000276554858249,1.9597505132494242,log-normal,1.361781889576144E-4,-6.072588449383673,-6.072588449383673,1.361781889576144E-4
7000,7000,0.12742575637014206,0.01,0.49997448668639155,0.027551774312065597,1.984796465630721,log-normal,1.047106273021042E-4,-5.317338555945951,-5.317338555945951,1.047106273021042E-4
7000,7000,0.010000000000002772,1.4314295195025413,0.49946294636922484,0.05855101535362968,1.9824462103240696,log-normal,1.0649492701945359E-4,-5.977139606473885,-5.977139606473885,1.0649492701945359E-4
7000,7000,0.01,0.09198935497590723,0.4986464669561875,0.04620215984309031,1.9466195218774152,normal,8.098577863628926E-5,-4.0825535258372305,-4.0825535258372305,8.098577863628926E-5
7000,7000,0.03804214673021246,1.1403289894541528,0.49307724405877734,0.012342480625075702,1.988420888134607,log-normal,1.5212616473116066E-4,-6.2086997500823,-6.2086997500823,1.5212616473116066E-4
7000,7000,0.01,0.013393542054674282,0.499772025982819,0.025665546729187756,1.9675296355369312,normal,7.792089786946084E-5,-3.794508642963826,-3.794508642963826,7.792089786946084E-5
7000,7000,0.01,0.01,0.5,0.03620956613874256,1.9891294944576134,log-normal,9.511220986181465E-5,-4.456463722666818,-4.456463722666818,9.511220986181465E-5
7000,7000,0.035016285941402665,1.2195353698632798,0.49433920352956445,0.01226772962057991,1.9875194352308774,log-normal,1.5356507780810554E-4,-6.609458117458125,-6.609458117458125,1.5356507780810554E-4
7000,7000,0.010047740487156717,0.011606666889720705,0.4971479911271251,0.01,1.9301066999717715,log-normal,9.655855101433792E-5,-4.626158642201808,-4.626158642201808,9.655855101433792E-5
7000,7000,0.01,0.01,0.4997691080544952,0.025515103637897947,1.9673274354475678,log-normal,9.82913665051846E-5,-4.860559099598851,-4.860559099598851,9.82913665051846E-5
7000,7000,0.037255674288355356,1.07414314542095,0.4931673447036862,0.012177931544534178,1.9869106684984583,normal,9.251894839321846E-5,-4.2906322979988385,-4.2906322979988385,9.251894839321846E-5
7000,7000,0.01,0.20352385540951398,0.4994444944347856,0.01,1.9716353274061478,log-normal,1.478609620587963E-4,-6.149121208372119,-6.149121208372119,1.478609620587963E-4
7000,7000,0.010006597818723314,0.016596489330507065,0.49977171120251607,0.02610332169645934,1.967043387715284,log-normal,1.0055716056209203E-4,-4.954251585972137,-4.954251585972137,1.0055716056209203E-4
7000,7000,0.023576252058489674,1.5,0.49999057269468744,0.01,1.9561879393182648,log-normal,1.633218637256171E-4,-6.936862558115118,-6.936862558115118,1.633218637256171E-4
