evolution$generation,gravityDecay,innovationDecay,mutationRate,newInnovationHierarchy,earlyAdoptersRate,utilityStd,utilityDistribution,averageGravityFlow,oppAverageUtility,oppAverageUtility,averageGravityFlow
1000,0.010000217540078295,0.3001989805775769,0.4977086254276314,0.10447767267180821,0.7206202762798407,1.8922061636128225,normal,2.1947392840362377E-5,-3.502946760028742,-3.502946760028742,2.1947392840362377E-5
1000,0.15365345500377003,1.4679631594759588,0.4983248294653981,0.10083371232175192,0.01,2.0,log-normal,6.479050710647271E-5,-10.506746910419796,-10.506746910419796,6.479050710647271E-5
1000,0.016732469895600347,1.3190590472165056,0.5,0.10796867896125271,0.034484113685564775,1.99838595109615,log-normal,6.171103794757228E-5,-10.191454650413704,-10.191454650413704,6.171103794757228E-5
1000,0.013475507761985268,1.1651403312993964,0.49987158418306193,0.1001651825118548,0.06134982715172442,1.9941923021157655,log-normal,5.776825999475794E-5,-9.891752262598793,-9.891752262598793,5.776825999475794E-5
1000,0.10528811383824228,0.6607045067380015,0.4999623518635807,0.1,0.08064775285371593,1.9680211731557284,log-normal,4.837271769080289E-5,-8.152317801783813,-8.152317801783813,4.837271769080289E-5
1000,0.01,1.1995871599418877,0.4938262854908154,0.10015282635931967,0.05939796425707055,1.9926391770331484,log-normal,5.375261594508665E-5,-9.039603002741188,-9.039603002741188,5.375261594508665E-5
1000,0.01,0.2948383711025462,0.49758625707025456,0.10391144292242505,0.7326668681724409,1.8520591378380977,normal,2.3020463687813514E-5,-3.589495449849491,-3.589495449849491,2.3020463687813514E-5
1000,0.01197495340509632,0.29986023685511054,0.4976310208270249,0.1,0.719850698157482,1.9125118876909957,log-normal,4.0525182341551264E-5,-5.914075902767495,-5.914075902767495,4.0525182341551264E-5
1000,0.0500124946224872,1.3698308340434344,0.49999882845250926,0.10072709327922721,0.015070957352474046,1.994788613440171,normal,2.6351781567440435E-5,-4.674179045917167,-4.674179045917167,2.6351781567440435E-5
1000,0.13622254718887272,0.4775840011562787,0.5,0.10008404716395461,0.12956455620151694,1.9598964057927841,log-normal,5.6535819498548814E-5,-9.52040717914765,-9.52040717914765,5.6535819498548814E-5
1000,0.01,0.23130286457903515,0.49854111026380116,0.10277030450045588,0.6521724642207388,1.7789250987662948,log-normal,4.6474626878848625E-5,-6.096386458190007,-6.096386458190007,4.6474626878848625E-5
1000,0.01434531202543747,0.5967526173640478,0.49957803569509146,0.10000392524418664,0.6554580119754762,1.9792852711389917,log-normal,4.564418302887764E-5,-6.0638759484859115,-6.0638759484859115,4.564418302887764E-5
1000,0.01,1.1728553614957538,0.49366969355827234,0.10017280345433752,0.046256173677536865,1.9818802882587663,log-normal,4.8523786939083554E-5,-8.778248447792848,-8.778248447792848,4.8523786939083554E-5
1000,0.01,1.494723805112178,0.5,0.1,0.1864270587453888,2.0,normal,2.424710262163205E-5,-4.303138701139767,-4.303138701139767,2.424710262163205E-5
1000,0.01,1.1975071457818998,0.5,0.10058232004492272,0.06077425115850991,1.9934254390141148,normal,2.445837339891515E-5,-4.447019054790495,-4.447019054790495,2.445837339891515E-5
1000,0.012701715902881197,1.2061844719828891,0.5,0.1,0.06862996115921048,2.0,normal,2.5140061434354016E-5,-4.524074272266255,-4.524074272266255,2.5140061434354016E-5
1000,0.01,1.163596666693116,0.49386296065497387,0.1001667502798435,0.06071969797210341,1.9932945363606838,normal,2.596115395984623E-5,-4.580321893642669,-4.580321893642669,2.596115395984623E-5
