evolution$generation,gravityDecay,innovationDecay,mutationRate,newInnovationHierarchy,earlyAdoptersRate,utilityStd,utilityDistribution,averageGravityFlow,oppAverageUtility,oppAverageUtility,averageGravityFlow
7000,0.01,1.2802682187170127,0.5,0.1,0.6736310500677968,1.9074552795197164,normal,3.9722699200227015E-6,-3.757569747860246,-3.757569747860246,3.9722699200227015E-6
7000,0.02706767333571626,1.2842394573828755,0.4350189755296594,0.10209790825501162,0.010047871229698848,1.9999999455655868,log-normal,1.0792402725699022E-5,-10.122458872952176,-10.122458872952176,1.0792402725699022E-5
7000,0.01,1.2529167524045492,0.4973239294404748,0.10000085160770594,0.6716980986438899,1.9091800264918224,log-normal,7.930985147313527E-6,-6.684661151595076,-6.684661151595076,7.930985147313527E-6
7000,0.027946043296369627,1.5,0.4933133904194793,0.1006762934342851,0.03375368505201931,1.9997974788074264,normal,4.440908436266061E-6,-4.6555624139002925,-4.6555624139002925,4.440908436266061E-6
7000,0.02524456844089649,1.321248758134645,0.5,0.10195029733234465,0.013782711555738524,1.9999492204910887,log-normal,1.0783686165301066E-5,-9.935435369643468,-9.935435369643468,1.0783686165301066E-5
7000,0.020389548890511314,1.2357005835186143,0.5,0.10182162107265712,0.21936483331251322,2.0,log-normal,8.075509458563836E-6,-8.546291505824566,-8.546291505824566,8.075509458563836E-6
7000,0.0251570150044974,1.3150187475285302,0.5,0.10187693780325796,0.014200834077682566,2.0,log-normal,8.046464512057449E-6,-8.395330653848262,-8.395330653848262,8.046464512057449E-6
7000,0.024833525835417203,1.319058201173375,0.49945775508845514,0.1,0.017263390574665687,1.9999138414395545,log-normal,8.077428856968788E-6,-9.363938686874043,-9.363938686874043,8.077428856968788E-6
7000,0.02524447834858295,1.321042771029592,0.499999698303926,0.10187223973960652,0.01374558827745205,1.9999492563300618,log-normal,9.159966228570652E-6,-9.74946120582519,-9.74946120582519,9.159966228570652E-6
7000,0.02717322908819704,1.3107536277910596,0.4947746363812549,0.10249050659050161,0.01898220541974857,2.0,normal,4.27454037372789E-6,-4.562912106658695,-4.562912106658695,4.27454037372789E-6
7000,0.019063417709903135,1.2562810874036459,0.4991579319656883,0.10215309833015063,0.12378707007842717,1.9993349991960734,normal,4.165580112373512E-6,-4.366216403790775,-4.366216403790775,4.165580112373512E-6
7000,0.025879798269066348,1.3085486219243823,0.4920224328234655,0.10181197022555988,0.01,1.9999999030872895,normal,4.28403647339531E-6,-4.6432798816650935,-4.6432798816650935,4.28403647339531E-6
7000,0.024727666481139957,1.3185990349912724,0.4994582950130181,0.1,0.02388724952768157,1.9999124950049156,normal,4.2295953509246106E-6,-4.523043735042863,-4.523043735042863,4.2295953509246106E-6
7000,0.018824589082314064,1.2331980078246276,0.4934014783610203,0.10211118948484078,0.16146468907105102,1.9999956176976463,normal,4.097209766932319E-6,-4.342397537267475,-4.342397537267475,4.097209766932319E-6
