evolution$generation,gravityDecay,innovationDecay,mutationRate,newInnovationHierarchy,earlyAdoptersRate,utilityStd,utilityDistribution,oppAverageDiversity,oppAverageUtility,evolution$samples
12000,0.01,1.2516000762637476,0.01555602227171212,0.2628546031014916,0.5130562799560542,1.9995087822174173,log-normal,-0.8190292982161095,-37.76960157723794,1
12000,1.3531430607684316,0.7479576817979744,0.49867615557855954,0.1,0.01,1.9999738856028746,log-normal,-0.9929521082632056,-9.095391714921382,1
12000,0.13131529708291548,1.5,0.05510885877669501,0.3363238712485654,0.6348579035725898,1.9997447226067289,log-normal,-0.6075430953730221,-17.986945457189773,2
12000,1.4606517292379804,0.5681532375858508,0.49958926262406717,0.10182190097793255,0.026292653400995528,2.0,log-normal,-0.9623333411132212,-32.494039572077995,1
12000,1.451893046909917,0.06087918200103096,0.5,0.7846002235203253,0.06104879691267281,1.9938964102836072,log-normal,-0.9828798660702756,-29.283201912312595,1
12000,1.4454000794304855,0.28540288315406254,0.49985709648770044,0.10002467702854637,0.036124509891100706,1.9999896217764042,log-normal,-0.9829179404794313,-19.64408263852614,1
12000,1.5,0.14449906398871445,0.49816790511055403,0.10004492268661164,0.01,2.0,log-normal,-0.9915816698441513,-19.267659996133236,1
12000,1.4990147952022728,0.4642444737692375,0.49341990176631195,0.1,0.023401066022002193,1.9999817600729348,log-normal,-0.981329258612037,-10.193870441304194,3
12000,1.455312478923756,1.2334138559614276,0.49650475378122255,0.1000002371447924,0.011514291000714076,1.9979451834471795,log-normal,-0.9844901425170315,-10.568896735993896,2
12000,1.142067102148272,1.3474175698819701,0.49997958647687374,0.10000030125566761,0.041993626712134705,2.0,log-normal,-0.9760129662674052,-11.220101571956464,5
12000,1.4997804016295941,0.4686726298502541,0.49996572199778794,0.10137988839644056,0.030574385516595713,1.9993755137643718,log-normal,-0.9766985078910764,-14.640909218770869,2
12000,1.3644003176400963,0.2841544389081109,0.49915186909482623,0.10000016801619907,0.023955800003905466,2.0,log-normal,-0.9929263393486165,-11.012717024971144,1
12000,1.498794879315548,0.4159912182171589,0.49999479283027937,0.1,0.03285230528608152,1.9997083880787891,log-normal,-0.992880574467764,-16.16450264364311,1
12000,1.4624528871491247,0.5702377169890411,0.49750241349174595,0.1121544358961015,0.028229668058792505,1.9994448568998673,normal,-0.9891808831430263,-4.709411806711763,4
12000,1.0588462939686247,0.9130805038900784,0.5,0.16153355645437675,0.019696084586231306,1.9999088668647336,log-normal,-0.9764883992964837,-10.751547535729605,8
12000,1.492456015215474,0.5078625116329919,0.49990140204965205,0.1000562756978277,0.02611060512940818,1.998724436014424,log-normal,-0.9746513597647652,-9.85018045779856,11
12000,1.5,0.752072506230793,0.4979665204555581,0.10864705435916766,0.010090185250969549,2.0,log-normal,-0.9816623994235514,-9.52755077801988,3
12000,0.12377243364473069,1.4951768923514521,0.4991416636463506,0.10000547167938667,0.01,1.9999985934253648,log-normal,-0.9613726945700012,-9.416977281762655,30
12000,0.7210870452133107,0.6290783879792676,0.4958019981435249,0.10162024455716412,0.012408413704525337,1.9999980390548542,log-normal,-0.9778044785246487,-9.67382210011459,21
12000,1.1970948436093867,0.8643338208051213,0.4999720045748054,0.1,0.04091172628665225,2.0,log-normal,-0.9838825061973206,-13.678631937040787,2
12000,1.374697104197036,0.6743096058438054,0.5,0.10004106469276824,0.01869689383019761,1.9788070784945624,normal,-0.9890568236389976,-4.583422105049069,10
12000,1.4286278918466038,0.45118843877608306,0.5,0.10092343241729415,0.014663578297239157,1.9981737326241584,log-normal,-0.9843395650959168,-12.271594649645863,2
12000,1.4679603123305782,0.5415094299991369,0.4975766261288191,0.1000802909326822,0.03674043955532847,2.0,log-normal,-0.9845772018553451,-9.50140331652143,2
12000,1.3539085613514608,0.01,0.44770935496851705,0.10005605382915711,0.024552366891646218,1.9999914590171524,log-normal,-0.98506032337239,-7.6580800026428495,100
12000,1.5,0.14265325140468724,0.4981252983750018,0.1,0.01,1.9992953631931343,log-normal,-0.9798094640751687,-7.8245294772441545,100
12000,1.2536232605421294,0.5137422360346999,0.49983306779207526,0.10001752705704753,0.028831443815886836,1.9981389324896097,log-normal,-0.9831745851074776,-8.201340051975974,6
12000,1.4569968562556301,0.4759331159682592,0.4999113811214606,0.10000409829364883,0.028602080377296835,1.9987495791166427,log-normal,-0.9759325705894025,-9.674005445780086,9
12000,1.5,0.40146265412608284,0.5,0.1,0.0382708392852923,1.9999142465608546,log-normal,-0.9783514376400755,-8.244344896436663,100
12000,1.4032873923143687,0.402781465935076,0.49994786468066094,0.10000024415113867,0.029331970370877744,1.9993764295090504,log-normal,-0.9777364991589766,-8.869631476526763,37
12000,1.499626292241724,1.4620163903848307,0.49953453672377424,0.10336108327647577,0.01012764009286535,2.0,log-normal,-0.9769513984601383,-8.801409481319464,72
12000,1.4285180238976118,0.4496313474097672,0.5,0.1009713402724023,0.014871013658506618,1.9982096125833508,log-normal,-0.9778544577224767,-8.987538166573785,32
12000,0.01,0.6991800844022233,0.5,0.1,0.01,2.0,log-normal,-0.9607087909320702,-8.609776312672924,100
12000,1.3733439185284926,0.6617813341448069,0.5,0.10003875281078008,0.019339042895114386,1.9999278970956367,normal,-0.9885180604189088,-4.4691902735734255,63
12000,1.4823676973965634,1.5,0.49778753045272817,0.10470612737611758,0.014424998632323913,1.999983646036355,normal,-0.9874726668973248,-4.43203397528148,100
12000,0.044140803274348,1.4380754865223264,0.49913076830181674,0.1003427897482391,0.01053510497551506,1.9998737078360695,log-normal,-0.9604232450457946,-8.721633931920273,100
12000,1.495875074658728,0.5576049209921745,0.49966650415066466,0.1,0.034912640324275546,1.9999656374501948,log-normal,-0.9779119081267349,-8.500477807227814,100
12000,1.43340029521994,0.01,0.5,0.10000528353150974,0.020406355754013564,1.9999310341055605,log-normal,-0.985271148251553,-7.982870456539478,22
12000,1.4818977303639578,0.3111165965006532,0.5,0.1000367657045122,0.027065168521748895,1.9989342968076822,normal,-0.9881740849460486,-4.292515575998392,100
12000,1.4191472389611701,1.4923108917183818,0.49866783931749453,0.10345508901407892,0.011905505767511136,1.99996611636153,log-normal,-0.9803654441499385,-9.025596266502694,20
12000,1.4996292078505393,0.5441101514111661,0.4997247282900557,0.10012189063416786,0.03828709712399998,2.0,log-normal,-0.9771723193949088,-9.045066795356586,39
12000,1.4916724395861638,0.4163383549431157,0.5,0.10008029276635376,0.021302802039739627,1.994380373376691,log-normal,-0.9846126101377749,-9.249143977060886,2
12000,1.4222771652747008,0.7614899036685147,0.4997239423633813,0.1,0.01,1.9999107127468954,log-normal,-0.9773320749811648,-8.643583241479124,94
12000,0.025509856329091564,1.5,0.49917426335268844,0.10000550880499523,0.01,2.0,log-normal,-0.9606045499233531,-8.661100655503816,100
12000,1.4607113065677089,0.47648562684233503,0.5,0.10499697935966391,0.02685061927599325,1.9999841511546614,log-normal,-0.9825716565191637,-9.248250489680963,7
12000,1.4587429946070827,0.8016927671135592,0.5,0.1,0.03378998602624219,1.9999999793040462,log-normal,-0.9790194194781002,-8.439371918714132,68
12000,1.4521377254998755,0.4692509556312372,0.49995279460503034,0.10000464440897082,0.027815033066201075,1.9987577767059932,log-normal,-0.9771573915319629,-8.651507789202753,54
12000,0.7357864597879268,0.01,0.4907211578566304,0.1,0.044237168876637416,1.9999999678176636,log-normal,-0.9854342192477968,-7.821043083940548,77
12000,1.4311336421558594,0.5343893866102323,0.4999982908191958,0.1010964112824334,0.013023714138850772,1.9988511390360326,log-normal,-0.979427917487665,-8.095488794118227,45
12000,1.0762760571738386,1.5,0.4948224160353075,0.1,0.021614090183368153,1.9952114032695671,normal,-0.9880212605452833,-4.403740460034959,91
12000,1.491044007291897,0.17113678417402198,0.4978849168697045,0.1,0.01559043279304849,1.99959238619764,log-normal,-0.9795614356490991,-7.897003570337878,100
12000,1.4957895153186627,1.5,0.4950715859762473,0.1,0.0163921843651642,1.9981734364640331,log-normal,-0.986290767250163,-8.818926323706634,3
12000,1.5,0.4616707073359329,0.5,0.10020262989323797,0.027299935521800656,2.0,normal,-0.9878836094507475,-4.38900892908704,100
12000,1.4907605890347622,0.40285503596730005,0.5,0.1001334421525261,0.021031783270133213,1.9951171635382234,log-normal,-0.9784147385037045,-8.174885987534656,100
12000,1.493189962627403,0.45312059872374344,0.4997898996490672,0.1,0.026190288670453213,1.998810131895788,normal,-0.9880928654088192,-4.386214689006813,100
12000,1.4577584367133822,0.29539554970753834,0.4999999987893774,0.1,0.03647232966723506,1.9999999999999996,normal,-0.9883893373460431,-4.386003031285081,79
