evolution$generation,gravityDecay,innovationDecay,mutationRate,newInnovationHierarchy,earlyAdoptersRate,utilityStd,utilityDistribution,oppAverageDiversity,oppAverageUtility,evolution$samples
46000,1.4961074795885798,0.6093039698451426,0.4996753534645929,0.10004420728964822,0.033488578388553916,2.0,log-normal,-0.993136116629524,-9.63253392271848,1
46000,1.3806914682969227,0.712849080814205,0.49882829346053215,0.10060383078157306,0.03444925234787742,1.9989194433276363,log-normal,-0.9807107193166179,-28.971815069839327,1
46000,1.2512147311703803,0.01,0.49999215640254324,0.10000536659142041,0.032275818542646405,1.9991765350626767,log-normal,-0.9860644837885064,-7.768460020713999,100
46000,1.5,1.4541037519684141,0.4999999232733183,0.5821321072365155,0.012588647645023765,1.972711277787694,log-normal,-0.9634477115875655,-16.688407160886314,2
46000,1.5,1.2302727716693604,0.5,0.10026443508510458,0.01053506714551451,1.9982162857032757,log-normal,-0.9742672303243178,-14.820167701755015,2
46000,1.4447265657892179,1.4829119707928935,0.4938887840182162,0.1,0.031839605680069334,1.9969191728910627,log-normal,-0.9927268071059202,-12.488723432792858,1
46000,1.5,0.11716981699657528,0.49987995618451786,0.10221748028819157,0.032164442398604005,2.0,log-normal,-0.9838113549929288,-11.554003718074195,2
46000,1.4974015829444671,0.7929457184854691,0.46680019755072266,0.1,0.031136950940037267,1.999613410045309,log-normal,-0.9790830819038356,-10.61851237642294,4
46000,1.4992982891244058,0.4146419164674771,0.49457057675423766,0.10001907427598312,0.029423032494232053,1.9992112480074524,log-normal,-0.9824318922158463,-11.02433971457404,3
46000,1.308965797812466,0.04396069584834569,0.45206879522273397,0.10080864992772764,0.038488296032345375,1.9988469508797477,log-normal,-0.9848030825704249,-19.197720474190596,1
46000,1.3240585628507238,0.357955776137173,0.49910634130135556,0.10077160245417906,0.0280385204308815,1.9986151926589362,log-normal,-0.9782741781829726,-9.74838868578109,9
46000,1.5,1.2341837080729503,0.5,0.10030112658919157,0.010227564906030372,1.998345359953916,log-normal,-0.991961688474922,-18.33728391307804,1
46000,1.4881569171671316,1.5,0.5,0.1,0.01869819179706063,1.9999504188964239,log-normal,-0.9926426288516513,-15.320295922693392,1
46000,1.4997165516242337,1.435974730169439,0.4994024359094654,0.10064097861254072,0.014224780115132975,1.9999093924772375,log-normal,-0.9799965352098456,-8.866523607616628,4
46000,1.4697323924992605,0.5642511443505194,0.4999929550523543,0.10004554520327841,0.017233778799613284,1.9999999705406601,log-normal,-0.9763365340578898,-9.881252578492843,13
46000,1.4999999999999998,0.11298353355681354,0.49979235174383685,0.10272422398570262,0.02956230720994396,1.9997779457033833,normal,-0.9883647470717853,-4.209757729952782,100
46000,1.468997615260796,1.1207590217331147,0.49977747519420185,0.10000098136286616,0.01882894263317933,1.9992365271103552,log-normal,-0.9796889290919706,-9.31203692006464,8
46000,1.4923202405964715,1.4405420562056057,0.49917158537350126,0.10052426408251938,0.01,2.0,log-normal,-0.9801788469551416,-8.771030137744622,6
46000,1.4943478283049692,1.3523786189618354,0.49904461681590356,0.10213448388506788,0.057805644416563676,2.0,log-normal,-0.9779240706414181,-9.59237796932978,13
46000,1.5,0.5412533033074032,0.5,0.1,0.04409235185055765,2.0,log-normal,-0.9788216032647726,-9.246021736186295,20
46000,1.4953782929074688,0.8419921540665549,0.4999998066873111,0.1,0.03151801157872162,1.9993969117297037,log-normal,-0.9796640873212759,-9.19503467190438,13
46000,1.4685078167994403,0.7117751768922108,0.49909964019571296,0.10006745427076619,0.013933968340139607,2.0,log-normal,-0.9780687092153476,-9.02025224520134,23
46000,1.498352235366318,1.4978576453973518,0.4993966695147583,0.10033325620019434,0.01442324814914752,1.9999632631521485,log-normal,-0.9845380939320152,-11.360510771920541,2
46000,1.4154898468413044,0.01,0.4985828478075055,0.1,0.02086559954556802,2.0,log-normal,-0.986072583158586,-7.457721372695021,100
46000,1.496493454294387,1.1092899183597265,0.4998984701302987,0.10022843804211691,0.026796209206505238,1.9997710844718872,normal,-0.9894059149288261,-4.858248928200734,2
46000,1.5,1.4010804287610374,0.49939292627283416,0.10028012618482601,0.01608498545526437,1.9998981045252904,log-normal,-0.9797500360087321,-8.445323109563724,7
46000,1.5,0.17532725430280655,0.5,0.10148036435973282,0.034686028902652793,2.0,normal,-0.9883098377681536,-4.229187344845105,41
46000,1.5,0.6096467950815445,0.4930561891929561,0.10003732718865337,0.024193989430499663,1.9991902005597006,log-normal,-0.9929062717983062,-11.332493989676557,1
46000,1.484408941666787,1.1357201220520277,0.4958380046185577,0.10548962372670337,0.023977463976147778,1.9999833303602605,log-normal,-0.9793261857086519,-8.676749738086382,22
46000,1.4207505490902053,1.1544243420280662,0.49804558414007305,0.10074375649391833,0.030745092434239084,1.996180039165782,normal,-0.9901915758395126,-4.557497681414169,2
46000,1.4525454261830273,0.6170744864308428,0.4999813867002139,0.10008227046320366,0.03067201815407792,1.9893175079123893,log-normal,-0.9785407587279699,-8.31616134989358,65
46000,1.4990995982423216,0.40400520753343466,0.49770167047700364,0.1,0.0271572490529774,1.9990904730367725,log-normal,-0.9773679912204079,-8.363756756928861,100
46000,1.3291169534914091,0.01,0.4982795527297429,0.1,0.019211229732284993,2.0,log-normal,-0.9857006256273353,-8.159352243964703,43
46000,1.4999180941296466,0.9899364358246833,0.49997154135231425,0.10018449619816416,0.03150001753716931,1.9998017170287228,log-normal,-0.9814522188594221,-8.375226953997267,9
46000,1.4879445219338305,0.8917455642374188,0.5,0.10055000748076645,0.018469596716845185,1.9999356110259718,normal,-0.988804407667985,-4.49428478369592,4
46000,1.3204791829867235,0.2289343607718595,0.4985611674232054,0.1,0.01984552978109544,1.9999752057980424,log-normal,-0.9796822578586284,-7.8945652595467966,68
46000,1.477977652698091,0.01,0.49953250907268737,0.10001810042087655,0.05075830614123906,2.0,log-normal,-0.9862483333434374,-7.94792753300238,6
46000,1.5,0.7624115031769075,0.5,0.10050608451448964,0.037040414093142196,1.9999998670597892,log-normal,-0.9789242339471421,-7.847638085958202,93
46000,1.5,1.0725873680393523,0.5,0.1,0.03017892937221424,1.999704468238687,log-normal,-0.978716407692814,-8.299333938331584,71
46000,1.4835727877145268,0.7681990806293056,0.49944202040039287,0.10001267287500774,0.03275697532657839,1.9999294141322108,normal,-0.9895729637893311,-4.578343557110736,3
46000,1.4860239709222631,1.4383615757800858,0.4980047511758395,0.10428250011940358,0.01426917673337479,1.9999854027460569,log-normal,-0.9776049137533181,-8.223717260906518,100
46000,1.5,0.545027263492279,0.49200415582455814,0.1,0.02620679678364541,1.9992491577279359,log-normal,-0.9812453499942654,-8.660865838891555,5
46000,1.4999852995373169,0.33929714969826913,0.49986648988126225,0.10045952926387336,0.033932930564932566,1.9992104838880467,normal,-0.9894880181775556,-4.656683675055128,2
