evolution$generation,evolution$evaluated,gravityDecay,innovationDecay,mutationRate,earlyAdoptersRate,utilityStd,utilityDistribution,averageGravityFlow,oppAverageUtility,oppAverageUtility,averageGravityFlow
3000,3000,0.13560748156827337,0.44124539365108506,0.49978564269182035,0.10806704880954268,1.9302411414188898,log-normal,1.820608883467568E-4,-8.88435361144521,-8.88435361144521,1.820608883467568E-4
3000,3000,0.01,0.01,0.4991417940309836,0.056776709085033225,1.999952853100135,normal,5.019469931621432E-5,-3.8284921578297393,-3.8284921578297393,5.019469931621432E-5
3000,3000,0.30165972608215147,0.4429221649119778,0.48720587212358657,0.01,2.0,log-normal,1.7059897886187602E-4,-8.2301507578034,-8.2301507578034,1.7059897886187602E-4
3000,3000,0.07552661718791506,0.41526579970578437,0.49218942307803865,0.01,1.9940284387413771,log-normal,1.3997375254212087E-4,-8.159479069776271,-8.159479069776271,1.3997375254212087E-4
3000,3000,0.17013311276957557,0.4048166484673708,0.4999991350087341,0.1073428143278089,1.9290025516517666,normal,5.5224628689034085E-5,-4.299913115914919,-4.299913115914919,5.5224628689034085E-5
3000,3000,0.014541442628516237,0.01566230391696953,0.49743386764926084,0.01,2.0,log-normal,6.637406160344581E-5,-5.675824894898501,-5.675824894898501,6.637406160344581E-5
3000,3000,0.17981519869619383,0.1852326565156388,0.4983923259956207,0.22354748916468062,2.0,log-normal,6.713963249070708E-5,-6.16407970113298,-6.16407970113298,6.713963249070708E-5
3000,3000,0.24147203990025556,0.538730350657502,0.49856650896931637,0.01,2.0,log-normal,1.1179127547312379E-4,-7.975365789706757,-7.975365789706757,1.1179127547312379E-4
3000,3000,0.18416627319580298,0.46627283751424636,0.49750799254532696,0.02376781886680634,1.9754580629497427,log-normal,9.853489907699962E-5,-6.683074188930178,-6.683074188930178,9.853489907699962E-5
3000,3000,0.30475153488627255,0.07460691503074372,0.49667596529163566,0.10985984800518167,1.9990717256824273,log-normal,8.77954223703599E-5,-6.2618225652167805,-6.2618225652167805,8.77954223703599E-5
