evolution$generation,evolution$evaluated,gravityDecay,innovationDecay,mutationRate,earlyAdoptersRate,utilityStd,utilityDistribution,averageGravityFlow,oppAverageUtility,oppAverageUtility,averageGravityFlow
4000,4000,0.09776269838804853,0.01,0.49984591601608724,0.012180499762959592,1.9257065476545643,normal,2.149695106522504E-5,-4.105345188317488,-4.105345188317488,2.149695106522504E-5
4000,4000,0.0569839793909013,0.35562589745062473,0.4989023381758009,0.01113677164656496,1.9990703612436682,log-normal,8.909857227468162E-5,-10.703988474677232,-10.703988474677232,8.909857227468162E-5
4000,4000,0.08779927440154818,0.5632762887382493,0.4999850273242881,0.012851135902743688,1.9315055872040783,log-normal,8.204642133643756E-5,-9.458875723615376,-9.458875723615376,8.204642133643756E-5
4000,4000,0.03654286549129313,0.2972135969859652,0.49942829272046957,0.010648496128744292,1.9987941645848883,normal,3.6605818534015164E-5,-4.563059525523416,-4.563059525523416,3.6605818534015164E-5
4000,4000,0.02533790093075217,0.08698196101774047,0.49921831188129256,0.01,1.9920618684225926,log-normal,4.538993858653511E-5,-6.247319358818215,-6.247319358818215,4.538993858653511E-5
4000,4000,0.08954899584132463,0.036700533918289,0.5,0.01250622182127147,1.9116590035470626,log-normal,3.900811893511946E-5,-5.653146223862187,-5.653146223862187,3.900811893511946E-5
4000,4000,0.01,0.24060681094275746,0.4999192403645902,0.012301781014783181,1.9660777223193773,log-normal,4.5564926676877234E-5,-7.100299771960282,-7.100299771960282,4.5564926676877234E-5
4000,4000,0.01,0.34709967906505657,0.5,0.024842488462780275,1.9982296310519336,log-normal,6.795578688712382E-5,-9.378373589675459,-9.378373589675459,6.795578688712382E-5
4000,4000,0.10253884966198289,0.012137712763786503,0.5,0.010634482184262554,1.8378412647831972,log-normal,3.736692148459773E-5,-5.360379162692057,-5.360379162692057,3.736692148459773E-5
4000,4000,0.11037431794424074,0.012027590955204372,0.4998822539190563,0.010443733156702939,1.897657863939376,log-normal,3.9348412128100645E-5,-6.110830467891505,-6.110830467891505,3.9348412128100645E-5
4000,4000,0.01,0.13258645616107956,0.5,0.024958045074221138,1.9997067592815443,log-normal,4.6849165531155635E-5,-8.27460157955019,-8.27460157955019,4.6849165531155635E-5
4000,4000,0.0896923939008252,0.1333498847840662,0.498429625244377,0.05571143900630017,1.896133331927525,log-normal,4.5606788224719676E-5,-7.413769819017802,-7.413769819017802,4.5606788224719676E-5
4000,4000,0.01,0.11027640424183265,0.4973565284472511,0.01,1.924490583087103,normal,2.7002284950509853E-5,-4.1844980993994785,-4.1844980993994785,2.7002284950509853E-5
4000,4000,0.030933447613552413,0.3867130524637832,0.48709928431156935,0.010728840362281732,1.9989171105053258,normal,3.408507670993195E-5,-4.512587089331439,-4.512587089331439,3.408507670993195E-5
4000,4000,0.0644759696314899,0.3614609211350343,0.5,0.010159294485951648,1.9999999975794989,log-normal,6.467715640772979E-5,-8.641476285108904,-8.641476285108904,6.467715640772979E-5
4000,4000,0.05385063494101653,0.5295858951993601,0.4976663822683057,0.011139198941568335,1.998953426750037,normal,3.5472602940613976E-5,-4.5476885928533175,-4.5476885928533175,3.5472602940613976E-5
4000,4000,0.05413381107090555,0.31587569854763603,0.5,0.01977782004446129,2.0,normal,3.4061570132969425E-5,-4.385372945137934,-4.385372945137934,3.4061570132969425E-5
4000,4000,0.01081578897059959,0.26984779877722,0.49936591920083345,0.02974740568586215,1.993718089527463,normal,2.8661067450206575E-5,-4.300360971905024,-4.300360971905024,2.8661067450206575E-5
4000,4000,0.011049073302713557,0.2675186100102666,0.5,0.025494839893383272,1.9928453076498442,normal,2.929782481415791E-5,-4.337179399986258,-4.337179399986258,2.929782481415791E-5
4000,4000,0.031854018135050545,0.35613867405810407,0.4994423910215573,0.010659737270489246,1.9989147672119252,normal,3.136464971468813E-5,-4.366807971785949,-4.366807971785949,3.136464971468813E-5
