evolution$generation,gravityDecay,innovationDecay,mutationRate,newInnovationHierarchy,earlyAdoptersRate,utilityStd,utilityDistribution,averageGravityFlow,oppAverageUtility,oppAverageUtility,averageGravityFlow
9000,0.01,0.023506135758684456,0.5,0.1,0.9,1.9828709225749042,normal,8.651550130091418E-6,-3.3147880120080035,-3.3147880120080035,8.651550130091418E-6
9000,0.02764437482020001,0.4392362120434028,0.5,0.10000045995041154,0.08361321616990454,1.9744458790197403,log-normal,3.014995815091105E-5,-10.1716023190995,-10.1716023190995,3.014995815091105E-5
9000,0.01000087483143747,0.1390435848105745,0.4998018359618788,0.10144065089382309,0.6005600074614901,1.9574152127849014,log-normal,1.6383225899049408E-5,-6.267287569515739,-6.267287569515739,1.6383225899049408E-5
9000,0.010198640164119149,0.3783849260108546,0.49995201602224404,0.10002035959348356,0.01,1.9999826470620328,normal,1.4546802670772032E-5,-4.63298002151914,-4.63298002151914,1.4546802670772032E-5
9000,0.01,0.10181218879313886,0.49973449356006494,0.10001842867943024,0.052112132422293005,2.0,log-normal,2.032385627799638E-5,-8.441024562901,-8.441024562901,2.032385627799638E-5
9000,0.01,0.05457237859322718,0.4999999722862678,0.1011911171796996,0.012745472709891067,1.9999930810794837,log-normal,1.792878258893253E-5,-7.345253262015761,-7.345253262015761,1.792878258893253E-5
9000,0.01061391097056806,0.39165170064876903,0.4996164787449,0.10018618626498416,0.01,1.9957828736790963,log-normal,2.462236877887628E-5,-9.564525139108579,-9.564525139108579,2.462236877887628E-5
9000,0.0114392873813715,0.10296788060495032,0.5,0.10019709484634173,0.07523370945627718,1.995122313337195,log-normal,1.7931577341472E-5,-8.118369764330227,-8.118369764330227,1.7931577341472E-5
9000,0.01,0.04737135134977166,0.49997398118807374,0.10004781257198113,0.09802751585878229,1.9981397112070267,log-normal,1.6650230561517894E-5,-6.896679283910235,-6.896679283910235,1.6650230561517894E-5
9000,0.01,0.05460046291058491,0.4999999729331866,0.10115739183433307,0.01,1.9999959023347968,log-normal,1.709773849046663E-5,-7.159579020183703,-7.159579020183703,1.709773849046663E-5
9000,0.011095716630686309,0.05554096549088505,0.4999957241502589,0.10117605432913428,0.012403676620769338,1.999931448918276,normal,1.0576400567794038E-5,-4.343169110790823,-4.343169110790823,1.0576400567794038E-5
9000,0.01087586792437049,0.04757436411179996,0.4999742507122365,0.10004757420578603,0.097919984424504,1.9981354294008997,normal,9.180021666297635E-6,-4.047614629870488,-4.047614629870488,9.180021666297635E-6
9000,0.025800954449964213,0.44049228187611117,0.5,0.1,0.08422391577391594,1.9998370024234526,normal,1.1517077324881808E-5,-4.539685193884541,-4.539685193884541,1.1517077324881808E-5
9000,0.036779949181829044,0.07227265464760516,0.4998325458804786,0.1,0.01,1.9995389815543383,normal,1.1119341108093272E-5,-4.4061344318417355,-4.4061344318417355,1.1119341108093272E-5
9000,0.01,0.4493719219330399,0.49907437137700844,0.10003957755655521,0.014434553946335978,1.9873820028925595,normal,1.2702664912873226E-5,-4.602817338441779,-4.602817338441779,1.2702664912873226E-5
9000,0.011501782470056822,0.28715246354801993,0.49480384192441773,0.10005985713943892,0.02418253029019557,1.9277581294875155,log-normal,2.170463214259157E-5,-8.828083893563392,-8.828083893563392,2.170463214259157E-5
9000,0.010449667429301262,0.06354616270385133,0.49999999999999994,0.10111324257698832,0.01,2.0,normal,1.0064346472253903E-5,-4.274445853827522,-4.274445853827522,1.0064346472253903E-5
9000,0.01,0.41309312957639976,0.49993497225622613,0.10003277525699153,0.012075696786476953,1.9951517443007023,normal,1.2924747039181783E-5,-4.616584001974203,-4.616584001974203,1.2924747039181783E-5
9000,0.020383661874618743,0.28632531292102015,0.4777362427186419,0.10006910212922956,0.01,1.9987022373933765,normal,1.2652153317902333E-5,-4.574175143261659,-4.574175143261659,1.2652153317902333E-5
9000,0.010592305354250615,0.06107851092316375,0.49999988564392767,0.10102883050559597,0.10324448747868552,2.0,normal,9.842595506369885E-6,-4.134101847986296,-4.134101847986296,9.842595506369885E-6
9000,0.010701061827049947,0.06703857844399448,0.4997705461868957,0.1000084387801681,0.12284196281985887,1.9963992395176977,normal,9.817984003561936E-6,-4.115430007770243,-4.115430007770243,9.817984003561936E-6
9000,0.01037678193506954,0.07402600451936385,0.5,0.10000000410919663,0.10279987920610166,1.996610941727508,normal,1.0440850740907264E-5,-4.290286016242433,-4.290286016242433,1.0440850740907264E-5
9000,0.010859499500803144,0.04796958285379582,0.49999071384137384,0.1,0.10640017014783816,1.9981825668179398,normal,9.011667734575212E-6,-3.988196670958046,-3.988196670958046,9.011667734575212E-6
9000,0.010033410605405885,0.06252411680192019,0.49999914615454444,0.10000685928210414,0.11269961342623529,1.9985748462876245,normal,9.888425991915131E-6,-4.155965809524902,-4.155965809524902,9.888425991915131E-6
