evolution$generation,gravityDecay,innovationDecay,mutationRate,newInnovationHierarchy,earlyAdoptersRate,utilityStd,utilityDistribution,averageGravityFlow,oppAverageUtility,oppAverageUtility,averageGravityFlow
10000,0.01,0.023506135758684456,0.5,0.1,0.9,1.9828709225749042,normal,8.651550130091418E-6,-3.3147880120080035,-3.3147880120080035,8.651550130091418E-6
10000,0.011310246675888008,0.37761787010696785,0.49996649007254057,0.10002181001379658,0.01,1.9999750400626013,log-normal,3.008693129815716E-5,-10.228838479439595,-10.228838479439595,3.008693129815716E-5
10000,0.01000087483143747,0.1390435848105745,0.4998018359618788,0.10144065089382309,0.6005600074614901,1.9574152127849014,log-normal,1.6383225899049408E-5,-6.267287569515739,-6.267287569515739,1.6383225899049408E-5
10000,0.010198640164119149,0.3783849260108546,0.49995201602224404,0.10002035959348356,0.01,1.9999826470620328,normal,1.4546802670772032E-5,-4.63298002151914,-4.63298002151914,1.4546802670772032E-5
10000,0.01,0.10181218879313886,0.49973449356006494,0.10001842867943024,0.052112132422293005,2.0,log-normal,2.032385627799638E-5,-8.441024562901,-8.441024562901,2.032385627799638E-5
10000,0.01061391097056806,0.39165170064876903,0.4996164787449,0.10018618626498416,0.01,1.9957828736790963,log-normal,2.462236877887628E-5,-9.564525139108579,-9.564525139108579,2.462236877887628E-5
10000,0.0114392873813715,0.10296788060495032,0.5,0.10019709484634173,0.07523370945627718,1.995122313337195,log-normal,1.7931577341472E-5,-8.118369764330227,-8.118369764330227,1.7931577341472E-5
10000,0.01,0.04737135134977166,0.49997398118807374,0.10004781257198113,0.09802751585878229,1.9981397112070267,log-normal,1.6650230561517894E-5,-6.896679283910235,-6.896679283910235,1.6650230561517894E-5
10000,0.010516833014712675,0.3334126739596817,0.5,0.10002421537705707,0.01,1.9953694766116703,log-normal,2.7896598105377222E-5,-9.670134311040579,-9.670134311040579,2.7896598105377222E-5
10000,0.01,0.05460046291058491,0.4999999729331866,0.10115739183433307,0.01,1.9999959023347968,log-normal,1.709773849046663E-5,-7.159579020183703,-7.159579020183703,1.709773849046663E-5
10000,0.011095716630686309,0.05554096549088505,0.4999957241502589,0.10117605432913428,0.012403676620769338,1.999931448918276,normal,1.0576400567794038E-5,-4.343169110790823,-4.343169110790823,1.0576400567794038E-5
10000,0.01,0.05457237859322718,0.4999999722862678,0.1011911171796996,0.012745472709891067,1.9999930810794837,log-normal,1.792878258893253E-5,-7.345253262015761,-7.345253262015761,1.792878258893253E-5
10000,0.036779949181829044,0.07227265464760516,0.4998325458804786,0.1,0.01,1.9995389815543383,normal,1.1119341108093272E-5,-4.4061344318417355,-4.4061344318417355,1.1119341108093272E-5
10000,0.011501782470056822,0.28715246354801993,0.49480384192441773,0.10005985713943892,0.02418253029019557,1.9277581294875155,log-normal,2.170463214259157E-5,-8.828083893563392,-8.828083893563392,2.170463214259157E-5
10000,0.025800954449964213,0.44049228187611117,0.5,0.1,0.08422391577391594,1.9998370024234526,normal,1.1517077324881808E-5,-4.539685193884541,-4.539685193884541,1.1517077324881808E-5
10000,0.011817951227302307,0.04544730120690898,0.5,0.1009717401730211,0.09386825530447714,1.9999505881406698,normal,9.315699033104162E-6,-4.201617653485968,-4.201617653485968,9.315699033104162E-6
10000,0.010449667429301262,0.06354616270385133,0.49999999999999994,0.10111324257698832,0.01,2.0,normal,1.0064346472253903E-5,-4.274445853827522,-4.274445853827522,1.0064346472253903E-5
10000,0.01,0.4493719219330399,0.49907437137700844,0.10003957755655521,0.014434553946335978,1.9873820028925595,normal,1.2702664912873226E-5,-4.602817338441779,-4.602817338441779,1.2702664912873226E-5
10000,0.01,0.41309312957639976,0.49993497225622613,0.10003277525699153,0.012075696786476953,1.9951517443007023,normal,1.2924747039181783E-5,-4.616584001974203,-4.616584001974203,1.2924747039181783E-5
10000,0.01,0.053794352612229875,0.49999138685377004,0.1,0.10630707189006354,1.9982630359150242,normal,9.847164912273503E-6,-4.242929506171849,-4.242929506171849,9.847164912273503E-6
10000,0.01037678193506954,0.07402600451936385,0.5,0.10000000410919663,0.10279987920610166,1.996610941727508,normal,1.0440850740907264E-5,-4.290286016242433,-4.290286016242433,1.0440850740907264E-5
10000,0.010584927911841319,0.042620732283844553,0.4999998668702965,0.10099414949345813,0.0873497321944528,2.0,normal,8.818773255318262E-6,-4.152826651739905,-4.152826651739905,8.818773255318262E-6
10000,0.020383661874618743,0.28632531292102015,0.4777362427186419,0.10006910212922956,0.01,1.9987022373933765,normal,1.2652153317902333E-5,-4.574175143261659,-4.574175143261659,1.2652153317902333E-5
